model,redshift,sub_id,logMstar,resid,bbarolo_rc
SIDM1,2.0,15923,10.783,inf,-6
CDM,2.0,27655,10.508,inf,0
CDM,2.0,16340,10.801,inf,-6
vSIDM,2.0,10358,10.817,inf,0
vSIDM,2.0,14762,10.809,inf,-6
CDM,3.0,5684,10.876,inf,-6
vSIDM,3.0,5367,10.863,inf,0
CDM,0.5,75244,10.615,inf,-6
CDM,0.5,90330,9.730,inf,0
CDM,0.5,57280,10.720,inf,-6
CDM,0.5,51897,10.668,inf,0
CDM,0.5,91726,9.849,inf,0
CDM,0.5,68153,10.776,inf,-6
CDM,0.5,70419,10.542,inf,0
CDM,0.5,59548,10.991,inf,-6
CDM,0.5,53719,10.766,inf,-6
CDM,0.5,57157,10.973,inf,0
CDM,0.5,61057,10.953,inf,-6
CDM,0.5,69646,10.517,inf,-6
CDM,0.5,53205,11.004,inf,-6
CDM,0.5,34805,11.075,inf,0
CDM,0.5,60111,10.824,inf,-6
CDM,0.5,89197,9.717,inf,0
CDM,0.5,68405,10.735,inf,-6
CDM,0.5,58349,10.681,inf,-11
SIDM1,0.5,84350,9.872,inf,0
SIDM1,0.5,61136,10.807,inf,0
SIDM1,0.5,85608,9.884,inf,0
SIDM1,0.5,52175,10.890,inf,0
SIDM1,0.5,46105,11.135,inf,0
SIDM1,0.5,83623,9.787,inf,0
SIDM1,0.5,80063,10.411,inf,-6
SIDM1,0.5,83445,9.839,inf,0
SIDM1,0.5,42562,11.342,inf,0
SIDM1,0.5,90461,9.864,inf,0
SIDM1,0.5,90697,9.743,inf,0
SIDM1,0.5,57014,10.921,inf,-6
SIDM1,0.5,65503,10.784,inf,-6
SIDM1,0.5,69262,10.587,inf,0
SIDM1,0.5,59977,10.847,inf,-6
SIDM1,0.5,69893,10.363,inf,-6
vSIDM,0.5,78668,9.974,inf,0
vSIDM,0.5,55545,10.664,inf,-6
vSIDM,0.5,55253,11.065,inf,0
vSIDM,0.5,88058,9.963,inf,0
vSIDM,0.5,59613,10.944,inf,0
vSIDM,0.5,85388,9.893,inf,0
vSIDM,0.5,77097,10.451,inf,-6
vSIDM,0.5,37579,11.099,inf,0
vSIDM,0.5,33568,11.560,inf,0
vSIDM,0.5,56995,10.840,inf,-6
vSIDM,0.5,50955,10.943,inf,-6
vSIDM,0.5,79400,9.897,inf,0
vSIDM,0.5,77125,10.105,inf,0
vSIDM,0.5,53007,10.871,inf,-6
vSIDM,0.5,62357,10.848,inf,-6
vSIDM,0.5,50002,10.605,inf,0
vSIDM,0.5,71653,10.594,inf,-6
vSIDM,0.5,64972,10.629,inf,-6
vSIDM,0.5,58972,10.819,inf,-6
vSIDM,0.5,39157,11.146,inf,0
vSIDM,0.5,63971,10.722,inf,0
vSIDM,0.5,63425,10.872,inf,0
CDM,1.0,71506,10.298,inf,-6
CDM,1.0,76775,9.735,inf,0
CDM,1.0,24645,11.061,inf,-6
CDM,1.0,30972,10.951,inf,0
CDM,1.0,39596,10.891,inf,-6
CDM,1.0,54042,10.312,inf,0
vSIDM,1.0,43003,10.767,inf,-6
vSIDM,1.0,63022,10.245,inf,-6
SIDM1,1.0,50701,10.684,inf,-6
SIDM1,1.0,34962,10.614,inf,-6
vSIDM,3.0,5441,10.608,26.3426,0
CDM,0.5,62826,10.745,19.0041,0
SIDM1,1.0,46608,10.644,18.6791,0
vSIDM,2.0,17801,10.714,16.1029,0
CDM,3.0,10994,10.354,15.9293,0
vSIDM,3.0,3565,10.280,15.6787,0
SIDM1,3.0,8929,10.043,15.3457,0
SIDM1,2.0,17210,10.494,14.5799,0
vSIDM,4.0,1418,10.214,14.3948,0
vSIDM,1.0,59374,9.990,14.2489,0
