z,snap,model,logM_lo,logM_hi,N,N_disc,f_disc,plotted
0.5,67,CDM,9.6928,9.8928,108,80,0.7407,1
0.5,67,CDM,9.8928,10.0928,105,90,0.8571,1
0.5,67,CDM,10.0928,10.2928,90,81,0.9000,1
0.5,67,CDM,10.2928,10.4928,70,62,0.8857,1
0.5,67,CDM,10.4928,10.6928,59,52,0.8814,1
0.5,67,CDM,10.6928,10.8928,67,56,0.8358,1
0.5,67,CDM,10.8928,11.0928,34,26,0.7647,1
0.5,67,CDM,11.0928,11.2928,16,6,0.3750,1
0.5,67,CDM,11.2928,11.4928,11,5,0.4545,1
0.5,67,CDM,11.4928,11.6928,6,2,0.3333,1
0.5,67,CDM,11.6928,11.8928,3,0,0.0000,0
0.5,67,CDM,11.8928,12.0928,2,0,0.0000,0
0.5,67,SIDM1,9.6928,9.8928,122,106,0.8689,1
0.5,67,SIDM1,9.8928,10.0928,131,111,0.8473,1
0.5,67,SIDM1,10.0928,10.2928,96,88,0.9167,1
0.5,67,SIDM1,10.2928,10.4928,76,69,0.9079,1
0.5,67,SIDM1,10.4928,10.6928,63,53,0.8413,1
0.5,67,SIDM1,10.6928,10.8928,61,46,0.7541,1
0.5,67,SIDM1,10.8928,11.0928,36,18,0.5000,1
0.5,67,SIDM1,11.0928,11.2928,17,7,0.4118,1
0.5,67,SIDM1,11.2928,11.4928,12,4,0.3333,1
0.5,67,SIDM1,11.4928,11.6928,7,1,0.1429,1
0.5,67,SIDM1,11.6928,11.8928,1,0,0.0000,0
0.5,67,SIDM1,11.8928,12.0928,2,0,0.0000,0
0.5,67,vSIDM,9.6928,9.8928,127,94,0.7402,1
0.5,67,vSIDM,9.8928,10.0928,100,88,0.8800,1
0.5,67,vSIDM,10.0928,10.2928,98,88,0.8980,1
0.5,67,vSIDM,10.2928,10.4928,60,56,0.9333,1
0.5,67,vSIDM,10.4928,10.6928,62,56,0.9032,1
0.5,67,vSIDM,10.6928,10.8928,57,45,0.7895,1
0.5,67,vSIDM,10.8928,11.0928,34,21,0.6176,1
0.5,67,vSIDM,11.0928,11.2928,20,10,0.5000,1
0.5,67,vSIDM,11.2928,11.4928,10,1,0.1000,1
0.5,67,vSIDM,11.4928,11.6928,7,2,0.2857,1
0.5,67,vSIDM,11.6928,11.8928,2,0,0.0000,0
0.5,67,vSIDM,11.8928,12.0928,2,0,0.0000,0
1,50,CDM,9.7051,9.9051,92,70,0.7609,1
1,50,CDM,9.9051,10.1051,100,84,0.8400,1
1,50,CDM,10.1051,10.3051,87,78,0.8966,1
1,50,CDM,10.3051,10.5051,69,67,0.9710,1
1,50,CDM,10.5051,10.7051,62,60,0.9677,1
1,50,CDM,10.7051,10.9051,40,34,0.8500,1
1,50,CDM,10.9051,11.1051,33,23,0.6970,1
1,50,CDM,11.1051,11.3051,10,3,0.3000,1
1,50,CDM,11.3051,11.5051,6,5,0.8333,1
1,50,CDM,11.5051,11.7051,3,1,0.3333,0
1,50,CDM,11.7051,11.9051,3,0,0.0000,0
1,50,CDM,11.9051,12.1051,1,0,0.0000,0
1,50,SIDM1,9.7051,9.9051,130,109,0.8385,1
1,50,SIDM1,9.9051,10.1051,98,88,0.8980,1
1,50,SIDM1,10.1051,10.3051,101,94,0.9307,1
1,50,SIDM1,10.3051,10.5051,72,65,0.9028,1
1,50,SIDM1,10.5051,10.7051,64,59,0.9219,1
1,50,SIDM1,10.7051,10.9051,48,35,0.7292,1
1,50,SIDM1,10.9051,11.1051,29,19,0.6552,1
1,50,SIDM1,11.1051,11.3051,9,3,0.3333,1
1,50,SIDM1,11.3051,11.5051,7,3,0.4286,1
1,50,SIDM1,11.5051,11.7051,2,1,0.5000,0
1,50,SIDM1,11.7051,11.9051,3,0,0.0000,0
